,1st Target,2nd Target,Primary Algorithm,Moves,Alternative Algorithm,Moves
175,DFR,DBL,z' U [(R2 U' R') D2 (R U R') D2 R'] U' z,11,,
176,DFR,BDL,[L (U R2 U') L' (U R2 U')],8,,
177,DFR,LDB,x' y' [U' (R' D2 R) U (R' D2 R)] y x,8,,
178,DFR,DBR,x [(R U R') D2 (R U' R') D2] x',8,,
179,DFR,RDB,y' [(R2 U' R') D2 (R U R') D2 R'] y,9,,
180,DFR,BDR,z' [(R' D2 R) U (R' D2 R) U'] z,8,,
181,FDR,UFR,,,,
182,FDR,RFU,,,,
183,FDR,FRU,,,,
184,FDR,UFL,,,,
185,FDR,FLU,,,,
186,FDR,LUF,,,,
187,FDR,UBR,,,,
188,FDR,BRU,,,,
189,FDR,RUB,,,,
190,FDR,DFL,z' [(R2 U R2 U' R2) D2 (R2 U R2 U' R2) D2] z,12,,
191,FDR,LDF,[(R U2 R') D (R U2 R') D'],8,,
192,FDR,FDL,x [(R' D2 R) U' (R' D2 R) U] x',8,,
193,FDR,DBL,z [(R' U2 R') D (R U2 R') D' R2] z',9,,
194,FDR,BDL,[(R U2 R') D2 (R U2 R') D2],8,,
195,FDR,LDB,x' [U' (L D2 L') U (L D2 L')] x,8,,
196,FDR,DBR,x' [U2 (L D2 L') U2 (L D2 L')] x,8,,
197,FDR,RDB,[(R U2 R') D' (R U2 R') D],8,,
198,FDR,BDR,y x' [(L2 U L) D2 (L' U' L) D2 L] x y',9,,
199,RDF,UFR,,,,
200,RDF,RFU,,,,
201,RDF,FRU,,,,
202,RDF,UFL,,,,
203,RDF,FLU,,,,
204,RDF,LUF,,,,
205,RDF,UBR,,,,
206,RDF,BRU,,,,
207,RDF,RUB,,,,
208,RDF,DFL,z' [(R U R') D2 (R U' R') D2] z,8,,
209,RDF,LDF,x' [(R2 U' R') D2 (R U R') D2 R'] x,9,,
210,RDF,FDL,y [(L' U2 L) D (L' U2 L) D'] y',8,,
211,RDF,DBL,x' y' [R U2 (R D' R') U2 (R D R2)] y x,9,,
212,RDF,BDL,x' [L (U' R2 U) L' (U' R2 U)] x,8,,
213,RDF,LDB,[D2 (L U L') D2 (L U' L)],8,,
214,RDF,DBR,z' U [R U2 (R D' R') U2 (R D R2)] U' z,9,,
215,RDF,RDB,[R2 (U' L' U) R (U' L U) R],9,,
216,RDF,BDR,[D (R' U R) D' (R' U' R)],8,,
217,DFL,UFR,,,,
218,DFL,RFU,,,,
219,DFL,FRU,,,,
220,DFL,UFL,,,,
221,DFL,FLU,,,,
222,DFL,LUF,,,,
223,DFL,UBR,,,,
224,DFL,BRU,,,,
225,DFL,RUB,,,,
226,DFL,DFR,,,,
227,DFL,FDR,,,,
228,DFL,RDF,,,,
229,DFL,DBL,D x [(U' R' U) L2 (U' R U) L2] x' D',10,,
230,DFL,BDL,y [(R' U R') D2 (R U' R') D2 R2] y',9,,
231,DFL,LDB,z2 y' [R2 D2 (R U2 R') D2 (R U2 R)] y z2,9,,
232,DFL,DBR,z' R' U [R D2 (R U' R') D2 (R U R2)] U' R z,13,,
233,DFL,RDB,x [L2 (U' R U) L2 (U' R' U)] x',8,,
234,DFL,BDR,[(U R' U') L2 (U R U') L2],8,,
235,LDF,UFR,,,,
236,LDF,RFU,,,,
237,LDF,FRU,,,,
238,LDF,UFL,,,,
239,LDF,FLU,,,,
240,LDF,LUF,,,,
241,LDF,UBR,,,,
242,LDF,BRU,,,,
243,LDF,RUB,,,,
244,LDF,DFR,,,,
245,LDF,FDR,,,,
246,LDF,RDF,,,,
247,LDF,DBL,D' [(R D2 R) U2 (R' D2 R) U2 R2] D,11,,
248,LDF,BDL,[D (R U2 R') D (R U2 R') D2],9,y' [(R U' R') D (R U R') D'] y,
249,LDF,LDB,x y' [(R U R') D (R U' R') D'] y x',8,,
